1121557018232414208,"For New Yorkers and visitors alike, here's a new kind of walking tour: the ""Most Hideous Men in NYC"" tour. The tour is meant to celebrate the MeToo movement and its achievements—and Carroll's commentary is priceless. "
1121556306589097984,"You realize Joe is one of the reasons we have a MeToo movement, right? And not because he's spent time helping these victims, but be a use he made people victims. "
1121553834323718144,The MeToo founder says the movement isn't just for women 
1121548186290675712,"The MeToo moment may have passed, but the movement it sparked is far from over.  In this episode of the Filevine Fireside, we visit with attorney Jean Hyams to learn about her life, her work, and her mission as a MeToo-Movement Lawyer.  legalpodcasts"
1121547876432216065,Required reading for the MeToo movement: The 10th Circuit's ruling in this case could threaten laws against public nudity.  via @KWaggonerADF @DailySignal
1121544162044776449,MeToo creator Tarana Burke wants the current movement to be more inclusive to people of all genders.  via @HuffPostWomen gender metoo mentoo
1121543614591488001,Groping Joe Biden is officially running. How real is the MeToo movement? It ought to be boycotting this molester!
1121538281299034113,"""If your reaction to every movement that seeks to empower women and refuses to ""hide the gemena"", is ""that is Western"", maybe consider becoming a bit more ""Westernized"" yourself. Come into the light. It's warmer for everybody here."" @Ermikwg MeTooEthiopia Ethiopia MeToo"
1121537230865162242,Strong hire with Biden hiring Symone.  Although this does bring up some potential hard feelings amongst survivors as  Miss Symone &amp; Miss Hill are both no stranger to the the MeToo movement 
1121537183939096576,"""It's time we look in the mirror and fix our own problems as well. Sexual Assault/Molestation/Rape is something that has been prevalent in the Habesha community for generations. IT MUST STOP NOW!  THE MOVEMENT HAS BEGUN!"" @lily_tesfaye MeTooEthiopia MeToo @PMEthiopia"
1121537107405623297,2 years ago at the start of the MeToo movement @JoeBiden should have contacted AnitaHill &amp; asked for a face-to-face meeting. Mr. Biden had to do something before announcing his candidacy for 2020. Ms. Hill’s response is spot on!  
1121533997035786241,"He called her this month. This month. What was he doing during the Kavanaugh hearings, the rise of the MeToo movement, or the last 18 years for that matter? "
1121531026235428864,"Kudos to journalist Meaghan Beatley @mbeatley for two extraordinary in-depth articles this week bringing the feminist movement in Spain and the far right backlash to an international audience. First one is a @gdnlongread. 
metoo Cuéntalo
"
1121529708083077120,The MeToo movement hasn’t done anything for Black people. Black women don’t receive real justice and Black men are unjustly accused. Another chess move for white supremacy.
1121528036434690048,"Huh... Soooooo... I think NOT! Why? Because MeToo, that's why! If he needed a freaking movement to realize ""the error of his ways"", he's not only completely oblivious AND gross, he's NOT sorry! Just say ""NO"" to @JoeBiden  AND BlueNoMatterWho EstablishmentJoe 
CorporatePuppets "
1121525202024792075,Anyone else suspect that in this current ducked up world the metoo movement in a few years - will change to woman complaining men don’t make moves on them anymore - predicting now 2022 or sooner we’ll have whynotme trending?
1121522651611189248,For moths I’ve been saying the Anita Hill hearings were going to hurt Joe if he ever decided to run in the post MeToo movement world. They didn’t even wait 24 hours. 
1121520526151778319,GeorgeConway is a stunning example of how to be a horrible husband. Why isn't the MeToo movement outraged at his behavior? What kind of catholic is he? Not mine for sure.
1121514328484610052,"Did you know that all profits from our kickstarter campaign will be donated to the MeToo movement?

Click on the link in our bio to learn all about our campaign and be the first to receive a copy of ""Trump as… "
1121512067515678723,"In his public announcement of Biden2020 this morning CreepyUncleJoe effectively ended the MeToo movement. The new  will now b itsjust(namehere)being(namehere) again the Democrats have exposed themselves as fraudulent. @cspanwj 
CreepyJoe 
WalkAway 
WalkAwayFromDemocrats"
1121511198833377280,"All over the world, women are taking the initiative and letting their voices be heard. In this day of the MeToo movement, this book, Power Up, Super Women, is an awesome compliment to the philosophy 
 powerupsuperwoman "
1121510414901219329,The MeToo founder says the movement isn't just for women 
1121507136020807685,Just like that the metoo movement is over. 
1121505906951368704,Where's all the MeToo movement comments about CreepyUncleJoe and his handling and touching of women without their permission. pervert @JoeBiden 
1121504483585011713,"As survivors around the world are speaking out against sexual misconduct, migrant women and girls on the southern US border live in the shadows of the MeToo movement, where sexual violence most often goes unreported, uninvestigated and unprosecuted. SAAM
"
1121504331298213888,"Same here, and I support the metoo movement also. 
But Franken was treated unfairly "
1121504153635889154,"""We need to create a dialogue about consent in queer relationships and how that fits into the overall [MeToo] movement."" We agree! "
1121501346518183942,"In the age of the MeToo movement, Donald Trump is the NotMe president."
1121501089730265089,"Disgusted that the new James Bond movie is being made to reflect modern attitudes and bearing in mind the MeToo movement.

They have gutlessly bowed to offencemonger morons like this one.

I, for one, will not be watching this watered-down bollocks. "
1121491244557979649,"My GF already filed a complaint with head of Security at @WholeFoods Westchase HTX last year, seemed to remove nasty SecurityGuard from the job a few months, but his lewd, creepy stalking has RESUMED! Where's the justice from metoo movement when authority figures abuse power???"
1121487323114475522,Tarana Burke reclaims MeToo movement with HBCU tour 
1121486062646374402,The MeToo founder says the movement isn't just for women 
1121485864259989507,The MeToo movement gave a voice to silenced women – so why are films about it all made by men? 
1121485531509084165,"""The MeToo movement gave a voice to silenced women – so why are films about it all made by men?"" A damn good question.  women Feminism "
1121482843400626176,"April is Sexual Assault Awareness Month. In the context of the MeToo movement, know that we are here to connect you to resources or provide support around sexual misconduct in the workplace.

Learn More:


"
1121477584657768448,"Oprah MeToo TimesUp Movement Ignores ""Migrant"" Gang Rapists Who Walk Free  via @YouTube"
1121476633867591680,"Isn't it ironic that @JoeBiden is so popular a candidate, despite having several women making allegations towards him. Funny how MeToo movement is so selective about who they'll go after - and who they WON'T... same with that cad BillClinton. I'm not surprised though."
1121475256101765126,"So honored to MC the @HouseOfRuthMd Spring Luncheon today. Special guest was Pulitzer Prize winning journalist @mega2e , whose investigative stories for the @nytimes toppled Harvey Weinstein and helped ignite the metoo movement. Great Q and A session! 
@WMAR2News "
1121472949721227265,"Watch out for our interview with MeToo movement founder Tarana Burke, airing next week. @TaranaBurke hiphopandfinance assault rent stuck economics freedom sexualassault "
1121470225583681536,Biden is the exact reason for the METOO movement. Is the DNC so out of touch that they didn't beg him to reconsider. 2020 I smell womens hair as a way of connecting w them....CreepyJoe 
1121470044809113601,"The metoo movement was about personal rights first. Secondly, it was about power. Ultimately, a lot of this comes down to money and power. I have zero faith that the public will get the full story from a documentary which did not listen to all sides."
1121465105865224195,"""....imagine the barriers that women of color and immigrant women, confronting destructive policies and racist attitudes must overcome, to be believed.""

Join us for next Tuesday's ""Latinas &amp; the MeToo Movement,... "
1121460899951280128,"The masculine patriarchy ruled society when this photo was taken of me. Times have changed immensely, yet we still have a long way to go. 

How can men survive and thrive during the MeToo movement? Read my blog post to learn how  "
1121460697504739328,"James Gunn is back directing Guardians  of the Galaxy 3.
Guess they just spit in the face of your whole MeToo movement.
Scandals come out about him during the heat of things so the fire him to appease the movement then hire him back when you dont care about the movement anymore"
1121457398651211776,"Do you have your ticket for ""Latinas &amp; the MeToo Movement, One Year Later""? Mujeres is hosting a panel next Tuesday and we want to see YOU there! 


EnAccion SAAM NiUnaVictimaMas "
1121449189513281536,metoo I’m confused. We have this movement going on but every music video and reality show is teaching our young women how to be ho’s. Can someone get focused on that? Ijs
